	reagent	Anaphase	Apoptosis	Artefact	Binuclear	Elongated	Folded	Grape	Hole	Interphase	Large	Metaphase	MetaphaseAlignment	Polylobed	Prometaphase	SmallIrregular	UndefinedCondensed
0	ARID1B-2	0.023122080318044486	0.02404661710756047	0.04160949227715547	0.14351702856215612	0.03425281004577245	0.018505927599213302	0.034270714117044486	0.03762748971771732	0.33553093051430016	0.03859742579294183	0.02936013807960655	0.03798899026521943	0.08534867378628268	0.0591941431516559	0.033218705374885	0.023808833290444524
1	no reagent	0.0253644147961384	0.030623631187384367	0.05414805223747299	0.15507142897659032	0.03062286649498417	0.02222435242296454	0.0350131964390247	0.03673110826873264	0.2558524575258908	0.03713968302591247	0.03558040447713742	0.04546116643103744	0.1006036352801495	0.05839750450965529	0.050867319633337016	0.026298778293588555
2	HIF1a-2	0.027672071425836636	0.03056521807842476	0.05155256760224119	0.16239951624656807	0.02984412905449307	0.02377694618639103	0.035950723628740605	0.03954219484136573	0.2515373821753414	0.03503732862663079	0.03543961796040086	0.04463243727161703	0.09768877949821994	0.05215911504989695	0.05385252314660082	0.028349449207230724
3	COX5B-1	0.02601537323620598	0.026845115893429024	0.0509144670334577	0.15384783312536437	0.03043494708508338	0.02048069406489944	0.031761660813481654	0.03460413821105124	0.3014402996260785	0.03633961163477555	0.037594324142984525	0.04759400862137063	0.0847507474497068	0.051558823423623064	0.042705841031247097	0.023112114607241902
4	PSMA1-1	0.020335870868485036	0.036269674401605494	0.07733249713831666	0.12869259109459996	0.039718200418776446	0.02110688575696256	0.034875308110952956	0.031686697860067045	0.19809281792624495	0.02195884718263633	0.03211355875158368	0.056393262495230134	0.10891462182250308	0.10086319100888608	0.06087893809159304	0.030767037071556043
5	LacZ-2	0.022905431225797888	0.025324874333278638	0.05156151669430587	0.16370367517204726	0.028314463100067615	0.017753370364072117	0.03082905872309168	0.03330453851405134	0.2765441296682602	0.033952500895844236	0.03575525096872095	0.04427046327712158	0.1190971707590757	0.049270392622710414	0.045846726280049	0.021566437401503925
6	Chr2-3	0.02472532112367798	0.02634469362913857	0.05391989875934742	0.1439672899589383	0.03107183279157004	0.022633895065582426	0.0378587395254427	0.034721267998360096	0.2538877041722137	0.031982195023549244	0.03494091487694917	0.05104223576649419	0.11772164264927804	0.05976041324880172	0.05254025264260902	0.022881702768046946
7	SMARCB1-1	0.02195012163741122	0.026102182119394208	0.048042702690050336	0.16616397805593325	0.024963146441404016	0.016622303041844613	0.039610462281582055	0.03662506470349892	0.30312059292218185	0.03741633701272653	0.03133370423554801	0.04086485173033194	0.10545046149086236	0.04757625407817245	0.03254756189113489	0.02161027566792327
8	CDK4-1	0.02795706880279163	0.0288670323913132	0.03611413554266699	0.08229549631223676	0.03700440589055101	0.013213335929037577	0.04181818110798121	0.047766717501824804	0.27580534207399443	0.11735104774632112	0.031055787142131114	0.05408572765876093	0.08547280768666164	0.07630641318128478	0.020290855917326593	0.02459564511511592
9	PSMA1-2	0.018236964770867913	0.05110175526321211	0.06796797095800436	0.0951529313069418	0.05604510137783457	0.015814603507469	0.0276484351492318	0.03452526682976803	0.22529191350370437	0.02827243765883581	0.03433597176807785	0.06353836590740429	0.08351357498003922	0.13589256295313049	0.02376409834407968	0.03889804572139758
10	RHOA-2	0.02455383231686736	0.02338951284970851	0.051638543569235994	0.09324468300372885	0.02139504344872608	0.017295633334491883	0.02859163678379227	0.04609891581821923	0.26833293028723276	0.017518082908790273	0.03259082252066979	0.06361853906855569	0.07211178146106366	0.1261289762902915	0.08586823521757522	0.02762283112105127
11	BCL2-1	0.02434141165535214	0.024560090376011146	0.057830468706869635	0.13710599216529215	0.030161817806792578	0.022253229543926358	0.034804617056372736	0.032573428484344545	0.27508596109520805	0.027492983912561237	0.03496887747189499	0.05447664944044006	0.1077745285836193	0.055043531486667116	0.0591565187098561	0.022369893504791828
12	YAP1-2	0.031506129961163525	0.02789718868213555	0.03994181015314877	0.06664008336265928	0.04160910942235742	0.01564809310292463	0.03420760847459196	0.05207163420277172	0.30519848232556235	0.03458182626313738	0.04028255336004761	0.07256685788199634	0.06275651317468328	0.12010840194721842	0.032977626259078435	0.022006081426523154
13	ORC4-2	0.02480760786564252	0.027485550679456596	0.05285270198586723	0.15502716443062475	0.03333285373851991	0.020431998484423012	0.03504840115344569	0.03264517710525342	0.2711562766827423	0.034634493799269334	0.03506043343549723	0.04668727348698126	0.1092470286423924	0.05693570823829968	0.04119404997089013	0.02345328030069557
14	RAF1-2	0.024642674554398412	0.024688428754960752	0.053460179542674846	0.19239016742341028	0.02767665500807482	0.03011516767065742	0.03235104745521855	0.029709682321819773	0.201282731225907	0.02495510961965165	0.03402145401777679	0.04035643669172001	0.10502689941449679	0.05644589009893517	0.09527377998276942	0.027603696217528024
15	SMARCB1-2	0.018339995857122142	0.027502441143368292	0.06829149560876163	0.16744738515773777	0.017551589864395103	0.024269033922756915	0.03477394706530203	0.029802139915271454	0.19600678548578343	0.021168964847101467	0.03267649815962641	0.04215701695117116	0.1171880560300895	0.08137412147552113	0.09029723361580837	0.03115329490018326
16	Chr2-4	0.025381545918882316	0.026901210518426952	0.05205989531825336	0.15131800711848065	0.028678435598575358	0.022504533771816392	0.034950827018852465	0.034869571875501	0.25435315213288806	0.03268521795253066	0.03404596695608135	0.046535820852282146	0.1099457148809017	0.06107367380519429	0.059302788819531396	0.025393637461801587
17	AURKB-2	0.02325367979720571	0.024160773449396874	0.037888667061770694	0.14370485224446225	0.03462933774164874	0.018468441011799144	0.029471201179013324	0.03623268665407264	0.28080906250160076	0.05322974522066793	0.026636602297533337	0.034915487004461274	0.1569177305362623	0.050506431826382085	0.02835781621418272	0.0208174852595407
18	Chr2-2	0.024584697718900324	0.027262263790637568	0.05063703458020953	0.1629027930063754	0.026137913845188692	0.023201635512595055	0.03780002513972896	0.033992477777488976	0.2429226189284737	0.02984883997723138	0.03668012742426076	0.04425652318881828	0.12386188024645457	0.05356264838575773	0.05823112598137082	0.024117394496506305
19	EZH2-1	0.024356711910215257	0.02616622600251381	0.03991441532521478	0.1791046088298405	0.0284738922498944	0.020252345011259464	0.03349140361610949	0.03040255882948961	0.31280194134312733	0.04620813666415137	0.031070425436557744	0.03739746414350261	0.09615431721400634	0.04258365871066784	0.02924970604093802	0.022372188672510934
20	PIK3CA-1	0.023831065685456766	0.025325388565392015	0.05166982141777479	0.15766337867034536	0.030629892016588004	0.019689337414102535	0.030230015775166475	0.03719934104186482	0.28718027402387564	0.03246560615539125	0.03416946208051184	0.04698041138662114	0.10208637912859245	0.05793722723583451	0.04118746992659412	0.021754929475888286
21	BCL2L2-2	0.022328030089883995	0.02727062642895308	0.05163498311720385	0.16007932533311306	0.025964309396684288	0.023790082848265514	0.034945552869865074	0.03137524848666803	0.26757048732852196	0.02995329719944946	0.03945768835733188	0.045289526679973484	0.1209950176873118	0.04304186197051443	0.05518859398908876	0.021115368217171363
22	CHEK2-2	0.021964355341400107	0.028110715858104905	0.06061221882592885	0.18100953591279192	0.02627332645079762	0.017702327759245854	0.031465194040776016	0.03243410430412626	0.2635482429314504	0.030696527577622156	0.0358062062860492	0.0500432881728219	0.09986070484846944	0.056102678856540265	0.04016644435587373	0.02420412847800156
23	MCL1-5	0.02382680119998555	0.029266466160520373	0.05092897901294624	0.1518467694052604	0.02478039382851205	0.019037376981937488	0.02844365453394328	0.03321794886379864	0.284191531468537	0.028557065291790074	0.04430433042091641	0.055502553707719046	0.09899852087064051	0.05812515016714397	0.04290563404565932	0.026066824040690238
24	PPIB-2	0.024368349146617518	0.02571478233049251	0.052233597894229315	0.16552137356597296	0.028663646921949216	0.019456138570560347	0.03980482364328016	0.032237461594034365	0.23261509357253904	0.04241024878168335	0.03417354406530979	0.042081175787596944	0.1461771596561067	0.049704983023784614	0.0424768176001327	0.022360803845711288
25	PPIB-1	0.02404480794740649	0.024585446744620446	0.05942097229355112	0.15304976556371716	0.03234898942368422	0.020944111847124434	0.031773554567399935	0.03246579783268047	0.2492783199274047	0.030657381942489473	0.03713896428773065	0.04741476840534847	0.11050974878516368	0.06397944045912786	0.057550435048144256	0.02483749492440484
26	JAK3-2	0.030843462089786024	0.04320572951186907	0.06302179692825523	0.121749685299701	0.04895479466098934	0.02053691124085365	0.05205947929901292	0.07277705272292756	0.2407978557339066	0.06463453741234501	0.02873462478593626	0.04272803833452593	0.06624335046857031	0.04684257893027815	0.024946339948545185	0.03192376263249776
27	BCL2L2-1	0.022393130652005863	0.025697273683610362	0.03729880485681104	0.14487096595889146	0.02913318104267508	0.017446794916678367	0.03139613819400411	0.041486352187933846	0.3441008390585926	0.043492066298786054	0.028247646999042173	0.04579323906680077	0.08294166318475205	0.051151767828071494	0.03235743567537248	0.022192700395971945
28	STAT3-1	0.024946788104947888	0.031236373972587037	0.05927475856731348	0.15308332714549183	0.03692299699854584	0.021825696184891462	0.03672796764900729	0.037837266297137795	0.25335381582014643	0.03384638426618472	0.03161074105830747	0.05456121155118834	0.08300987291839397	0.0747511873869721	0.04029772977115675	0.026713882307727945
29	PRDX1-1	0.02157953477433587	0.026722771272474296	0.05844688456734387	0.20266045460819862	0.021967114588965508	0.031629165732356766	0.03639254787565523	0.026411018614269356	0.15831008656905765	0.025490002809944182	0.0340276722996564	0.038008617451962906	0.15483318175687918	0.044422467974450146	0.09603834798389292	0.023060131120556954
30	ORC4-1	0.02710843478714136	0.0343881432442698	0.06002489987449311	0.13221829843427646	0.03716100345716322	0.018811037326357388	0.037739869048601764	0.048859637465319926	0.2701853269807092	0.03677508521663584	0.0314808310617214	0.04595508963581113	0.08864728144397443	0.06568371689667964	0.037170691393029184	0.02779065373381713
31	Chr2-1	0.02577275622125569	0.03288896936705326	0.054366535688341	0.1439191037314924	0.03340968400387241	0.019938096615077946	0.03926915872023353	0.04216087084174447	0.27116468055850207	0.033629646598823934	0.0333778888104301	0.043362580458878155	0.09690462809643431	0.059916787678446895	0.043945129877242965	0.025973482732168315
32	ATF4-2	0.022047707168926057	0.024053789168932117	0.041735211517110314	0.1700412056986295	0.027004691422716377	0.015362607527755359	0.037393994634699675	0.03192208658750421	0.2933098583530059	0.04376319266982687	0.03145218656525504	0.041954691894440885	0.1318428383360083	0.04257904531676573	0.026582817403407493	0.018954075735016333
33	EZH2-2	0.021955639345390975	0.02611664464086985	0.041052878492829084	0.17224856192868	0.031990950104558324	0.018560266582221423	0.03450132952363286	0.03081603128182771	0.30998184508169885	0.048716898627815954	0.028966644768091514	0.0370696355536372	0.11360134061292737	0.03819870454635955	0.02515086126804662	0.021071767641412505
34	KRAS-2B	0.023356131030328513	0.027798958562334393	0.04856164522764443	0.15610220465608393	0.024938313390161615	0.018699511339587912	0.029337946284566985	0.037385465315321935	0.3103201895030528	0.029678722506202543	0.03368991580391337	0.04685094633648192	0.08198214701800594	0.06392365234582549	0.04054502984342438	0.02682922083706394
35	COX5B-2	0.029667837502509592	0.03633552230737304	0.04320858955078313	0.1289218640085395	0.039080378725158585	0.025740202923182114	0.0424696735563848	0.04786215028595604	0.24121417439572204	0.05356408221378978	0.036676620215249	0.04287842729648673	0.09168136191214375	0.0666137666634849	0.04440895962080145	0.02967638882243545
36	BRAF-2	0.02475715733990948	0.032648304920682054	0.0621813885224457	0.21553558701515443	0.02641566462218305	0.016443397298144393	0.03650872702336265	0.024062688760025538	0.17913218838402029	0.07789241092875672	0.024980357347012414	0.03097922948513814	0.1883105861181669	0.022554983642521086	0.013455896728820468	0.024141431863657473
37	BRCA1-1	0.02496171514427225	0.02673979438937493	0.05934518836137372	0.1433555122485238	0.027335596991126077	0.024018379395026337	0.0353854265675513	0.03010363441103027	0.25020312080542856	0.025431332110341383	0.03277377718239153	0.05144552284617553	0.13809382324329644	0.04734131280015212	0.06407796972112124	0.01938789378281415
38	RAF1-1	0.024787934447189103	0.025866103535161465	0.03969705413366247	0.16370070859878974	0.03252366802321516	0.02189280686806476	0.03632765307950734	0.03521336561265742	0.28345734797443056	0.031032501476582448	0.034153280360061385	0.045617386606636556	0.10944467908821891	0.0491648260357863	0.045547648764581616	0.021573035395454132
39	Luc-2	0.0288578230813521	0.08088534628178867	0.09832910718226145	0.11578830789783882	0.03651902176660371	0.036494033305286215	0.07601676712892436	0.06747803393348478	0.13091572610662328	0.056585141287328555	0.025747506894464225	0.03331020282414397	0.07601404577482733	0.04889761798606914	0.03798371009526952	0.05017760845373412
40	CHEK2-1	0.025703333667779375	0.02938258520536926	0.05559805540387595	0.16823780011288733	0.024674655825124833	0.0212253543391863	0.037837063055506145	0.033790854430815725	0.23877553169240945	0.03594270188919716	0.0381084490331198	0.04912768392002632	0.11599259304381145	0.0513022942353749	0.0486181857485477	0.025682858396967545
41	MYC-1	0.034696762110582126	0.030816199302353502	0.024024933485607976	0.05159425845172416	0.1029778471695505	0.01377383803844606	0.009858831664678807	0.06407442522541618	0.3119385183574046	0.033537686451590686	0.05953337549167249	0.051222874037893204	0.0419104871101305	0.11249561232565156	0.03212778099500763	0.025416569782289008
42	POLR2D-2	0.02589663723863656	0.028323047523831423	0.06605474722729081	0.14457880540696355	0.043892841947249565	0.01982347109400098	0.03348434577919434	0.036076867959787484	0.20282836025666304	0.03192252392052503	0.03618870934953038	0.05403789905635745	0.11917773831095103	0.08175764418364691	0.04910956952928145	0.026846791216089582
43	CDK2-2	0.022318312148293957	0.028757358765122334	0.04671871355292818	0.15669780228603591	0.03645575084738507	0.015548534383471141	0.04605886973499589	0.03801430531419307	0.25437497914431684	0.06639598927090715	0.029338551172634546	0.05156018657196607	0.11683207821785815	0.04743484742890925	0.02392567036935487	0.019568050791628065
44	CCND1-1	0.025743442497548265	0.026370496536504993	0.03126808483506786	0.09875004962426578	0.04806358714538178	0.012423275299587129	0.03961003416073382	0.04095413040257323	0.3072408737375389	0.07528173940958138	0.03280430823496099	0.04984769011081248	0.09740408396418226	0.07199726288003941	0.019703523395887074	0.022537417765334567
45	DOT1L-1	0.02377645988764481	0.024181466451288432	0.04933430508610131	0.1923884752974381	0.025676128331590515	0.02100487773437508	0.03325980914350125	0.033522524058278165	0.22784913780353735	0.026391422801613298	0.03597319480165162	0.052227925240464206	0.13708768273703473	0.05318770823263296	0.043721363644891355	0.020417518747956685
46	RAC1-1	0.02505704393632807	0.026318296886800634	0.0501807871195928	0.1559797711798627	0.03182607487076736	0.023409489918259616	0.03323866471639544	0.032371679854692165	0.2615658529075852	0.028869419023060824	0.038696858200784855	0.051854347058300894	0.10616591249136066	0.05449989243329748	0.05732005862245388	0.022645850780455695
47	DOT1L-2	0.021862221722886183	0.028084088521704496	0.05229155754716507	0.1684909982626296	0.026031337314691077	0.02278064367196357	0.040497105314320964	0.029660529937436474	0.2665664855142391	0.03562013228284134	0.03503393918406631	0.046722245106765405	0.12194798390562324	0.040894598994184204	0.042513941564576975	0.02100219115490698
48	MCL1-2	0.021199292475098594	0.03142191170848977	0.05296499402150053	0.14509434603974594	0.027652668497897052	0.020996512230686475	0.03168588883425111	0.03678471761311251	0.306454229317156	0.03233161850672905	0.03354771998862529	0.04303558800774063	0.09151856709927626	0.054884946048620986	0.045078582227407814	0.025348417383661774
49	CSNK1A1-1	0.027879027480978282	0.02809478528799297	0.04429720813093155	0.12652022544323308	0.03644544146928199	0.017643558267858885	0.030348636824989735	0.039430108449586804	0.29478709848130413	0.03621713989139209	0.03733083847817088	0.05045780515383573	0.08637756279342858	0.06679919417335155	0.05182561328773365	0.025545756385930197
50	TXN-1	0.022547865830089726	0.030797983692403746	0.0519506740581911	0.1604262926001629	0.02779397432977112	0.02111564938182483	0.037032846140208284	0.030895729760864587	0.2841792630405021	0.03966244017913736	0.032545411861678634	0.045534546741927966	0.11234861471410162	0.04089097990296167	0.040857275565907306	0.021420452200267916
51	ITGAV-1	0.015707789020618396	0.0280101227795649	0.12278604330070743	0.07132204750324962	0.015922547688914553	0.01886390768978953	0.04803234653141818	0.027638527264201743	0.10623538671621849	0.007389921549344142	0.03611792226738567	0.0633198315569632	0.15607778159465985	0.17072996996303313	0.07874677195887513	0.03309908261505582
52	CCNE1-1	0.021037897066235402	0.02580928317158309	0.035678177043046225	0.15056732830098732	0.03353337051269058	0.016877918003342762	0.03243871063818594	0.03803743761375265	0.347028733738354	0.04227533454598789	0.02930081023310362	0.041037325182635385	0.09697036569483584	0.04576103711932604	0.023163322086188154	0.020482949049745063
53	Luc-1	0.02355605178614388	0.026094125561961067	0.06546211690224281	0.17958106701928575	0.021292210654696914	0.030267404021176825	0.03640745159581778	0.027620049978185915	0.15422094989375987	0.023089647595880166	0.03942412819946109	0.041963845698474306	0.14718375622996158	0.05643476326756593	0.10098699632860167	0.026415435266783978
54	XBP-1	0.02535017170052246	0.02644545294534659	0.049155723261665	0.17903475556996404	0.031448432075880654	0.019097791522543088	0.03315658244798368	0.035617145526626835	0.2616151671842531	0.035201514072610386	0.037101351981316984	0.048812907892161854	0.11576293338964314	0.045357338439108656	0.036585020542269524	0.020257711448103448
55	SUZ12-1	0.02367092604053463	0.02362149943314665	0.02987608942892804	0.16211542248950808	0.028775508344018635	0.013579100305773925	0.033552347420715216	0.031019077305288658	0.3727081830523298	0.052660807981889046	0.0304530141177606	0.033936792582998476	0.10027818692897235	0.03236189881278772	0.015350922247456605	0.016040223507890916
56	POLR2D-1	0.024266448133551305	0.03127959156578197	0.034746349998067215	0.12034429972504564	0.06211831787749466	0.013101737964618885	0.027034452091822123	0.03290783867210204	0.24644714175982319	0.048788798507489135	0.03766046068890511	0.0589636215400159	0.13590685960335902	0.09249698373455825	0.01162256156831768	0.022314536569048495
57	BRCA1-2	0.021781945620897247	0.028304762016514003	0.05360889508913238	0.16027714264504955	0.021604752346695715	0.021132033956097987	0.03339099121532325	0.027692176905132964	0.27310494698294674	0.0341796764788983	0.033200861390260496	0.051027687698005475	0.12133666337856099	0.04436885833628891	0.056406222598247735	0.018582383341947957
58	MAPK1-2	0.02493485064555377	0.028925797944553987	0.049481479482185016	0.19604551028515618	0.03848002599975241	0.01700146075552829	0.03669253051769402	0.029236201825259586	0.2276766682284565	0.06535223823335336	0.030691581053208985	0.03882815524792666	0.15051122504618486	0.025434863547420826	0.017631978948858585	0.023075432238907182
59	SLC2A2-2	0.022417163663036477	0.024523313374323473	0.031757626024947486	0.12017546466229284	0.03240871180134387	0.014180273462311748	0.029830925605058175	0.0436793435396681	0.36543950235341977	0.04824602867903607	0.03296200576842742	0.040420102472805516	0.07455316465528262	0.06804949783443091	0.028790770740601747	0.02256610536301363
60	ERBB3-1	0.024051156776229266	0.02985944779626996	0.05801850865207005	0.12635934712597485	0.02879743131131809	0.020827624951800693	0.03960718884315245	0.034669436601041326	0.25712670102637014	0.03514507000941219	0.033214468110416624	0.050333293256891364	0.12895457621425557	0.05770362644634014	0.05394300204210346	0.02138912083635441
61	GPX4-2	0.022041345810386158	0.07343425403887946	0.04930695052614048	0.05175203326636384	0.04456962320170359	0.01139317719961702	0.010719440975594732	0.02372264489437128	0.24433139052199995	0.024324535839203843	0.05095904024511156	0.08335419638379311	0.04552611525508306	0.17530574421577647	0.016107249337983832	0.07315225828799164
62	Chr2-5	0.026138586831550813	0.026879858962888924	0.04903041439080619	0.1439901386862345	0.031144474477910255	0.020383788596736747	0.03691758272450873	0.03587020195129176	0.272600474777758	0.03596950092030534	0.03404616886850593	0.04708244357814612	0.11695653584226222	0.054749764860709045	0.046152108079383865	0.022087956451002425
